h,Euler,Heun,RK4,Evals_Euler,Evals_Heun,Evals_RK4
0.4,335.6904646298274,3.604129108690257,0.05566317434096679,25,50,100
0.2,39.83642937087225,0.5088455335917519,0.0037461059087928184,50,100,200
0.1,5.598207976118045,0.117682807714524,0.00023177663619650124,100,200,400
0.05,1.5749900794419438,0.029614658117360915,1.4595298433894843e-05,200,400,800
