h,Euler,Heun,RK4,Evals_Euler,Evals_Heun,Evals_RK4
0.4,0.2493289641172216,0.07067103588277845,0.002404369216111757,25,50,100
0.2,0.08932896411722158,0.013237788087797908,0.000107789751797982,50,100,200
0.1,0.04019944117144231,0.0028604020285575293,5.79695385960477e-06,100,200,400
0.05,0.019201001071442347,0.0006615436621095205,3.3324105608301124e-07,200,400,800
