h,Euler,Heun,RK4,Evals_Euler,Evals_Heun,Evals_RK4
0.4,1.31073985332608,0.10703708250401922,0.000464974540485219,25,50,100
0.2,0.7315051831201618,0.02368875807229287,2.3439975143535463e-05,50,100,200
0.1,0.3895184520418207,0.005611130786804086,1.2917903084996851e-06,100,200,400
0.05,0.20147754581222355,0.0013618896049121254,7.529291234931179e-08,200,400,800
