h,Euler,Heun,RK4,Evals_Euler,Evals_Heun,Evals_RK4
0.4,0.17900891808158226,0.0469270727112899,0.0017065689579011112,25,50,100
0.2,0.06275506869717862,0.008361540920872157,7.369580684374322e-05,50,100,200
0.1,0.02769879515029397,0.0017525600510993888,3.8313106349441295e-06,100,200,400
0.05,0.013144585803493147,0.0004022208960073326,2.1940984773483052e-07,200,400,800
